At. num	Sp. Name	Ion Charge	El. Name	Isoel. Seq.	Ground Shells (a)	Ground Config.	Ground Level	Ionized Level	Prefix	Ionization Energy (eV)	Suffix	Uncertainty (eV)	
"21"	"Sc I"	"0"	"Scandium"	"Sc"	"[Ar].3d.4s2"	"3d.4s2"	"2D<3/2>"	"3d.4s 3D<1>"	""	"6.56149"	""	"0.00006"	
"21"	"Sc II"	"+1"	"Scandium"	"Ca"	"[Ar].3d.4s"	"3p6.3d.4s"	"3D<1>"	"3d 2D<3/2>"	""	"12.79977"	""	"0.00025"	
"21"	"Sc III"	"+2"	"Scandium"	"K"	"[Ar].3d"	"3p6.3d"	"2D<3/2>"	"3p6 1S<0>"	""	"24.756839"	""	"0.000012"	
"21"	"Sc IV"	"+3"	"Scandium"	"Ar"	"[Ne].3s2.3p6"	"3s2.3p6"	"1S0"	"3p5 2P*<3/2>"	""	"73.4894"	""	"0.0004"	
"21"	"Sc V"	"+4"	"Scandium"	"Cl"	"[Ne].3s2.3p5"	"3s2.3p5"	"2P*<3/2>"	"3p4 3P<2>"	"["	"91.95"	"]"	"0.03"	
"21"	"Sc VI"	"+5"	"Scandium"	"S"	"[Ne].3s2.3p4"	"3s2.3p4"	"3P<2>"	"3p3 4S*<3/2>"	"["	"110.68"	"]"	"0.05"	
"21"	"Sc VII"	"+6"	"Scandium"	"P"	"[Ne].3s2.3p3"	"3s2.3p3"	"4S*<3/2>"	"3p2 3P<0>"	"["	"137.99"	"]"	"0.25"	
"21"	"Sc VIII"	"+7"	"Scandium"	"Si"	"[Ne].3s2.3p2"	"3s2.3p2"	"3P0"	"3p 2P*<1/2>"	"["	"158.08"	"]"	"0.25"	
"21"	"Sc IX"	"+8"	"Scandium"	"Al"	"[Ne].3s2.3p"	"3s2.3p"	"2P*<1/2>"	"3s2 1S<0>"	""	"180.03"	""	"0.12"	
"21"	"Sc X"	"+9"	"Scandium"	"Mg"	"[Ne].3s2"	"2p6.3s2"	"1S0"	"3s 2S<1/2>"	"["	"225.18"	"]"	"0.05"	
"21"	"Sc XI"	"+10"	"Scandium"	"Na"	"[Ne].3s"	"2p6.3s"	"2S<1/2>"	"2p6 1S<0>"	"["	"249.798"	"]"	"0.005"	
"21"	"Sc XII"	"+11"	"Scandium"	"Ne"	"1s2.2s2.2p6"	"2s2.2p6"	"1S0"	"2p5 2P*<3/2>"	""	"687.36"	""	"0.12"	
"21"	"Sc XIII"	"+12"	"Scandium"	"F"	"1s2.2s2.2p5"	"2s2.2p5"	"2P*<3/2>"	"2p4 3P<2>"	"["	"757.7"	"]"	"1.0"	
"21"	"Sc XIV"	"+13"	"Scandium"	"O"	"1s2.2s2.2p4"	"2s2.2p4"	"3P<2>"	"2p3 4S*<3/2>"	"["	"833.2"	"]"	"1.4"	
"21"	"Sc XV"	"+14"	"Scandium"	"N"	"1s2.2s2.2p3"	"2s2.2p3"	"4S*<3/2>"	"2p2 3P<0>"	"["	"926.5"	"]"	"0.7"	
"21"	"Sc XVI"	"+15"	"Scandium"	"C"	"1s2.2s2.2p2"	"2s2.2p2"	"3P0"	"2p 2P*<1/2>"	"["	"1008.6"	"]"	"0.4"	
"21"	"Sc XVII"	"+16"	"Scandium"	"B"	"1s2.2s2.2p"	"2s2.2p"	"2P*<1/2>"	"2s2 1S<0>"	"["	"1093.5"	"]"	"0.4"	
"21"	"Sc XVIII"	"+17"	"Scandium"	"Be"	"1s2.2s2"	"1s2.2s2"	"1S0"	"2s 2S<1/2>"	"["	"1213.1"	"]"	"0.4"	
"21"	"Sc XIX"	"+18"	"Scandium"	"Li"	"1s2.2s"	"1s2.2s"	"2S<1/2>"	"1s2 1S<0>"	"("	"1287.957"	")"	"0.007"	
"21"	"Sc XX"	"+19"	"Scandium"	"He"	"1s2"	"1s2"	"1S0"	"1s 2S<1/2>"	"("	"5674.9036"	")"	"0.0004"	
"21"	"Sc XXI"	"+20"	"Scandium"	"H"	"1s"	"1s"	"2S<1/2>"	""	"("	"6033.75643"	")"	"0.00009"	
"22"	"Ti I"	"0"	"Titanium"	"Ti"	"[Ar].3d2.4s2"	"3d2.4s2"	"3F<2>"	"3d2.4s 4F<3/2>"	""	"6.828120"	""	"0.000012"	
"22"	"Ti II"	"+1"	"Titanium"	"Sc"	"[Ar].3d2.4s"	"3d2.(3F).4s"	"4F<3/2>"	"3d2 3F<2>"	""	"13.5755"	""	"0.0025"	
"22"	"Ti III"	"+2"	"Titanium"	"Ca"	"[Ar].3d2"	"3p6.3d2"	"3F<2>"	"3d 2D<3/2>"	""	"27.49171"	""	"0.00025"	
"22"	"Ti IV"	"+3"	"Titanium"	"K"	"[Ar].3d"	"3p6.3d"	"2D<3/2>"	"3p6 1S<0>"	""	"43.26717"	""	"0.00019"	
"22"	"Ti V"	"+4"	"Titanium"	"Ar"	"[Ne].3s2.3p6"	"3s2.3p6"	"1S0"	"3p5 2P*<3/2>"	""	"99.299"	""	"0.012"	
"22"	"Ti VI"	"+5"	"Titanium"	"Cl"	"[Ne].3s2.3p5"	"3s2.3p5"	"2P*<3/2>"	"3p4 3P<2>"	"["	"119.533"	"]"	"0.025"	
"22"	"Ti VII"	"+6"	"Titanium"	"S"	"[Ne].3s2.3p4"	"3s2.3p4"	"3P<2>"	"3p3 4S*<3/2>"	"["	"140.68"	"]"	"0.18"	
