At. num	Sp. Name	Ion Charge	El. Name	Isoel. Seq.	Ground Shells (a)	Ground Level	Prefix	Ionization Energy (eV)	Suffix	Uncertainty (eV)	References	
"22"	"Ti I"	"0"	"Titanium"	"Ti"	"[Ar].3d2.4s2"	"3F<2>"	""	"6.828120"	""	"0.000012"	"L17996"	
"22"	"Ti II"	"+1"	"Titanium"	"Sc"	"[Ar].3d2.4s"	"4F<3/2>"	""	"13.5755"	""	"0.0025"	"L7185,L5432"	
"22"	"Ti III"	"+2"	"Titanium"	"Ca"	"[Ar].3d2"	"3F<2>"	""	"27.49171"	""	"0.00025"	"L7185,L3593"	
"22"	"Ti IV"	"+3"	"Titanium"	"K"	"[Ar].3d"	"2D<3/2>"	""	"43.26717"	""	"0.00019"	"L7185,L2753"	
"22"	"Ti V"	"+4"	"Titanium"	"Ar"	"[Ne].3s2.3p6"	"1S0"	""	"99.299"	""	"0.012"	"L7185"	
"22"	"Ti VI"	"+5"	"Titanium"	"Cl"	"[Ne].3s2.3p5"	"2P*<3/2>"	"["	"119.533"	"]"	"0.025"	"L7185"	
"22"	"Ti VII"	"+6"	"Titanium"	"S"	"[Ne].3s2.3p4"	"3P<2>"	"["	"140.68"	"]"	"0.18"	"L11770"	
"22"	"Ti VIII"	"+7"	"Titanium"	"P"	"[Ne].3s2.3p3"	"4S*<3/2>"	"["	"170.5"	"]"	"0.4"	"L11770"	
"22"	"Ti IX"	"+8"	"Titanium"	"Si"	"[Ne].3s2.3p2"	"3P0"	"["	"192.1"	"]"	"0.4"	"L7185"	
"22"	"Ti X"	"+9"	"Titanium"	"Al"	"[Ne].3s2.3p"	"2P*<1/2>"	""	"215.92"	""	"0.12"	"L7185"	
"22"	"Ti XI"	"+10"	"Titanium"	"Mg"	"[Ne].3s2"	"1S0"	"["	"265.07"	"]"	"0.06"	"L7185"	
"22"	"Ti XII"	"+11"	"Titanium"	"Na"	"[Ne].3s"	"2S<1/2>"	"["	"291.500"	"]"	"0.005"	"L11770"	
"22"	"Ti XIII"	"+12"	"Titanium"	"Ne"	"1s2.2s2.2p6"	"1S0"	""	"787.67"	""	"0.04"	"L11691"	
"22"	"Ti XIV"	"+13"	"Titanium"	"F"	"1s2.2s2.2p5"	"2P*<3/2>"	"["	"864.0"	"]"	"1.2"	"L11770"	
"22"	"Ti XV"	"+14"	"Titanium"	"O"	"1s2.2s2.2p4"	"3P<2>"	"["	"944.5"	"]"	"1.6"	"L11770"	
"22"	"Ti XVI"	"+15"	"Titanium"	"N"	"1s2.2s2.2p3"	"4S*<3/2>"	"["	"1042.5"	"]"	"0.8"	"L11770"	
"22"	"Ti XVII"	"+16"	"Titanium"	"C"	"1s2.2s2.2p2"	"3P0"	"["	"1130.2"	"]"	"0.5"	"L11770"	
"22"	"Ti XVIII"	"+17"	"Titanium"	"B"	"1s2.2s2.2p"	"2P*<1/2>"	"["	"1220.3"	"]"	"0.5"	"L11770"	
"22"	"Ti XIX"	"+18"	"Titanium"	"Be"	"1s2.2s2"	"1S0"	"["	"1346.3"	"]"	"0.5"	"L11770"	
"22"	"Ti XX"	"+19"	"Titanium"	"Li"	"1s2.2s"	"2S<1/2>"	"("	"1425.257"	")"	"0.007"	"L16264c99"	
"22"	"Ti XXI"	"+20"	"Titanium"	"He"	"1s2"	"1S0"	"("	"6249.0226"	")"	"0.0007"	"L21139"	
"22"	"Ti XXII"	"+21"	"Titanium"	"H"	"1s"	"2S<1/2>"	"("	"6625.81023"	")"	"0.00010"	"L19200"	
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6

