At. num	Sp. Name	Ion Charge	El. Name	Isoel. Seq.	Ground Shells (a)	Ground Level	Prefix	Ionization Energy (eV)	Suffix	Uncertainty (eV)	References	
"23"	"V I"	"0"	"Vanadium"	"V"	"[Ar].3d3.4s2"	"4F<3/2>"	""	"6.746187"	""	"0.000021"	"L17712,L20010"	
"23"	"V II"	"+1"	"Vanadium"	"Ti"	"[Ar].3d4"	"5D0"	""	"14.634"	""	"0.007"	"L20009"	
"23"	"V III"	"+2"	"Vanadium"	"Sc"	"[Ar].3d3"	"4F<3/2>"	""	"29.3111"	""	"0.0025"	"L7185,L704,L4746"	
"23"	"V IV"	"+3"	"Vanadium"	"Ca"	"[Ar].3d2"	"3F<2>"	""	"46.709"	""	"0.005"	"L7185,L147"	
"23"	"V V"	"+4"	"Vanadium"	"K"	"[Ar].3d"	"2D<3/2>"	""	"65.28165"	""	"0.00017"	"L3917,L7185"	
"23"	"V VI"	"+5"	"Vanadium"	"Ar"	"[Ne].3s2.3p6"	"1S0"	""	"128.125"	""	"0.025"	"L7185"	
"23"	"V VII"	"+6"	"Vanadium"	"Cl"	"[Ne].3s2.3p5"	"2P*<3/2>"	"["	"150.72"	"]"	"0.13"	"L11770"	
"23"	"V VIII"	"+7"	"Vanadium"	"S"	"[Ne].3s2.3p4"	"3P<2>"	"["	"173.55"	"]"	"0.21"	"L11770"	
"23"	"V IX"	"+8"	"Vanadium"	"P"	"[Ne].3s2.3p3"	"4S*<3/2>"	"["	"206.0"	"]"	"0.4"	"L11770"	
"23"	"V X"	"+9"	"Vanadium"	"Si"	"[Ne].3s2.3p2"	"3P0"	"["	"230.5"	"]"	"0.5"	"L7185"	
"23"	"V XI"	"+10"	"Vanadium"	"Al"	"[Ne].3s2.3p"	"2P*<1/2>"	"["	"254.8"	"]"	"0.4"	"L11770"	
"23"	"V XII"	"+11"	"Vanadium"	"Mg"	"[Ne].3s2"	"1S0"	"["	"308.5"	"]"	"0.3"	"L11770"	
"23"	"V XIII"	"+12"	"Vanadium"	"Na"	"[Ne].3s"	"2S<1/2>"	"["	"336.274"	"]"	"0.006"	"L11770"	
"23"	"V XIV"	"+13"	"Vanadium"	"Ne"	"1s2.2s2.2p6"	"1S0"	""	"896.0"	""	"0.4"	"L7185"	
"23"	"V XV"	"+14"	"Vanadium"	"F"	"1s2.2s2.2p5"	"2P*<3/2>"	"["	"977.2"	"]"	"1.3"	"L11770"	
"23"	"V XVI"	"+15"	"Vanadium"	"O"	"1s2.2s2.2p4"	"3P<2>"	"["	"1062.9"	"]"	"2.0"	"L11770"	
"23"	"V XVII"	"+16"	"Vanadium"	"N"	"1s2.2s2.2p3"	"4S*<3/2>"	"["	"1165.2"	"]"	"1.1"	"L11770"	
"23"	"V XVIII"	"+17"	"Vanadium"	"C"	"1s2.2s2.2p2"	"3P0"	"["	"1258.9"	"]"	"0.6"	"L11770"	
"23"	"V XIX"	"+18"	"Vanadium"	"B"	"1s2.2s2.2p"	"2P*<1/2>"	"["	"1354.2"	"]"	"0.5"	"L11770"	
"23"	"V XX"	"+19"	"Vanadium"	"Be"	"1s2.2s2"	"1S0"	"["	"1486.7"	"]"	"0.5"	"L11770"	
"23"	"V XXI"	"+20"	"Vanadium"	"Li"	"1s2.2s"	"2S<1/2>"	"("	"1569.656"	")"	"0.007"	"L16264c99"	
"23"	"V XXII"	"+21"	"Vanadium"	"He"	"1s2"	"1S0"	"("	"6851.3112"	")"	"0.0008"	"L21139"	
"23"	"V XXIII"	"+22"	"Vanadium"	"H"	"1s"	"2S<1/2>"	"("	"7246.12624"	")"	"0.00014"	"L19200"	
Notes:
(a) Designations used in the ground shell lists:
     [Ne] = 1s2.2s2.2p6
     [Ar] = 1s2.2s2.2p6.3s2.3p6

